Donkere Woestiinklapekster / Dark Desert Grey Shrike ;352
Donkere Zanghavik / Dark Chanting Goshawk ;114
Donsstormvogel / Soft-plumaged Petrel ;72, ;418
Dougalls Stern / Roseate Tern ;200
Draaihals / Eurasian Wryneck ;246
Driebandplevier /Three-banded Plover ;419
Driekleurennon / Black-headed Munia ;426
Drieteenmeeuw / Black-legged Kittiwake ;192
Drieteenspecht / Eurasian Three-toed Woodpecker ;246
Drieteenstrandloper / Sanderling ;148
Dromas ardeola ;412
Drongo, Griize ;420
Dryocopus martius ;242
duif, Bolles Laurier- ;216
duif, Holen- ;214
duif, Hout- ;214
duif, Laurier- ;216
duif, Masker- ;216
duif, Oosterse Holen- ;420
duif, Rots- ;214
duif, Stads- ;214
duif. Treur- ;414
duif, Trocaz- ;216
duiker, Geelsnavel- ;62
duiker, IJs-;62
duiker, Pacifische Parel-;61, ;408
duiker, Parel- ;61
duiker, Roodkeel-;60
Dumpieper / Tawny Pipit ;262
Dumetella carolinensis ;416
Dunbekkerkuil / Slender-billed Barn Owl ;230
Dunbekmeeuw / Slender-billed Gull ;180
Dunbekwulp / Slender-billed Curlew ;170
Dunns Leeuwerik / Dunn's Lark ;252
Duponts Leeuwerik / Dupont's Lark ;256
Dwergaalscholver / Pygmy Cormorant ;78
Dwergarend / Booted Eagle ;100
Dwerggans / Lesser White-fronted Goose ;16
Dwerggors / Little Bunting ;392
Dwerglijster / Swainson's Thrush ;298
Dwergmeeuw / Little Gull ;192
Dwergooruil / Eurasian Scops Owl ;232
Dwergstern / Little Tern ;198
Dwergtjiftjaf / Plain Leaf Warbler ;420
Dwerguil / Eurasian Pygmy Owl ;226
Cend, Amerikaanse Grote Zee-;46
eend, Amerikaanse Tafel- ;46
eend, Amerikaanse Zee- ;46
Eend, Amerikaanse Zwarte ;24
eend, Aziatische Grote Zee- ;46
eend, Berg- ;22
eend, Brilzee- ;38
eend, Bronskop-;408
eend, Bruine Kroon- ;418
eend, Buffelkop-;46
eend, Carolina- ;422
eend, Coromandel- ;418
eend, Grote Tafel- ;46
eend, Grote Zee- ;38
eend, Harlekin- ;40
eend, IJs-;40
eend. Indische Fluit- ;418
eend, Krak-;24
eend, Kroon- ;30
eend, Kuif- ;32
eend, Mandarin- ;423
